"All Shipping Methods","All Shipping Methods"
"Selected Shipping Methods","Selected Shipping Methods"
"B2B Shipping Methods","B2B Shipping Methods"
"All Enabled Shipping Methods","All Enabled Shipping Methods"
" (disabled)"," (disabled)"
"Shipping Information","Shipping Information"
"Available Shipping Methods","Available Shipping Methods"
"This company has no shipping methods. Please contact store administrator.","This company has no shipping methods. Please contact store administrator."
"Default B2B Shipping Methods","Default B2B Shipping Methods"
"Applicable Shipping Methods","Applicable Shipping Methods"
"Shipping Methods","Shipping Methods"
"Shipping Information (View)","Shipping Information (View)"
"Use config settings","Use config settings"
