"Pending Approval from %1","Pending Approval from %1"
"%1 rejected this purchase order on %2","%1 rejected this purchase order on %2"
"%1 approved this purchase order on %2","%1 approved this purchase order on %2"
"Unknown Role","Unknown Role"
"Unknown Customer","Unknown Customer"
"%1 at %2","%1 at %2"
"Create New Approval Rule","Create New Approval Rule"
"The approval rule has been updated.","The approval rule has been updated."
"The approval rule has been created.","The approval rule has been created."
"An unknown error occurred while creating the rule.","An unknown error occurred while creating the rule."
"Required field is not complete.","Required field is not complete."
"Rule conditions have not been configured.","Rule conditions have not been configured."
"At least one approver is required to configure this rule.","At least one approver is required to configure this rule."
"This rule must apply to at least one or all roles.","This rule must apply to at least one or all roles."
"One of the ""Applies To"" roles does not exist.","One of the ""Applies To"" roles does not exist."
"This rule name already exists. Enter a unique rule name.","This rule name already exists. Enter a unique rule name."
"The approver role which was selected does not exist.","The approver role which was selected does not exist."
"Required data is missing from a rule condition.","Required data is missing from a rule condition."
"The selected rule does not exist.","The selected rule does not exist."
"The rule has been deleted.","The rule has been deleted."
"Edit Approval Rule","Edit Approval Rule"
"Approval Rules","Approval Rules"
"Purchase order has been successfully validated.","Purchase order has been successfully validated."
"Unable to validate purchase order.","Unable to validate purchase order."
"View Approval Rule","View Approval Rule"
"Could not save the applied rule approver: %1","Could not save the applied rule approver: %1"
"Applied rule approver with id ""%1"" does not exist.","Applied rule approver with id ""%1"" does not exist."
"Could not delete the applied rule approver: %1","Could not delete the applied rule approver: %1"
"Could not save the applied rule: %1","Could not save the applied rule: %1"
"Applied rule with id ""%1"" does not exist.","Applied rule with id ""%1"" does not exist."
"Could not delete the applied rule: %1","Could not delete the applied rule: %1"
"Purchase order %1 cannot be approved.","Purchase order %1 cannot be approved."
All,All
"Value must be an integer","Value must be an integer"
"Value must be positive","Value must be positive"
"Operator is not supported","Operator is not supported"
"Rule condition does not exist.","Rule condition does not exist."
"Rule is incorrectly configured.","Rule is incorrectly configured."
"Could not save the rule: %1","Could not save the rule: %1"
"Rule with id ""%1"" does not exist.","Rule with id ""%1"" does not exist."
"Could not delete the rule: %1","Could not delete the rule: %1"
"Your Company Administrator","Your Company Administrator"
"Your Manager","Your Manager"
View,View
Edit,Edit
Delete,Delete
"Delete Rule","Delete Rule"
"Are you sure you want to delete this rule?","Are you sure you want to delete this rule?"
Enabled,Enabled
Disabled,Disabled
"Add New Rule","Add New Rule"
"Any order over $1000 requires approval from the Manager and Sales Leader.","Any order over $1000 requires approval from the Manager and Sales Leader."
"If shipping cost is more than $500, approval from your manager is required.","If shipping cost is more than $500, approval from your manager is required."
"Any order with more than 20 distinct SKUs will require Admin approval.","Any order with more than 20 distinct SKUs will require Admin approval."
"* Required Fields","* Required Fields"
"Rule name","Rule name"
Description,Description
"Applies to","Applies to"
"All roles","All roles"
"Specific roles","Specific roles"
"Rule type","Rule type"
"Here are some sample rules: ","Here are some sample rules: "
"Order Total: ","Order Total: "
"Shipping Cost: ","Shipping Cost: "
"Number of SKUs: ","Number of SKUs: "
"Please select","Please select"
label,label
"Requires approval from","Requires approval from"
Save,Save
Back,Back
"Validate Purchase Order","Validate Purchase Order"
"Condition operator","Condition operator"
"Condition amount","Condition amount"
"Enter amount","Enter amount"
"Condition quantity","Condition quantity"
"Enter quantity","Enter quantity"
"An error occurred while validating the rule name. Please try again.","An error occurred while validating the rule name. Please try again."
"Approve Purchase Orders without other approvals","Approve Purchase Orders without other approvals"
"View Approval Rules","View Approval Rules"
"Create, Edit and Delete","Create, Edit and Delete"
"Order Total","Order Total"
"is more than","is more than"
"is less than","is less than"
"is more than or equal to","is more than or equal to"
"is less than or equal to","is less than or equal to"
"Shipping Cost","Shipping Cost"
"Number of SKUs","Number of SKUs"
"Rules: %rule  applied to Purchase Order","Rules: %rule  applied to Purchase Order"
"Requires My Approval","Requires My Approval"
"Approval Flow","Approval Flow"
"Rule Name","Rule Name"
Status,Status
"Rule Type","Rule Type"
"Created by","Created by"
Approver,Approver
Created,Created
"This action cannot be undone. Are you sure you want to approve the selected purchase orders?","This action cannot be undone. Are you sure you want to approve the selected purchase orders?"
"Approve Selected","Approve Selected"
"This action cannot be undone. Are you sure you want to reject the selected purchase orders?","This action cannot be undone. Are you sure you want to reject the selected purchase orders?"
"Reject Selected","Reject Selected"
"No rules have been created.","No rules have been created."
"Please enter a whole number.","Please enter a whole number."
