"My Purchase Orders","My Purchase Orders"
Subtotal,Subtotal
"Shipping & Handling","Shipping & Handling"
Tax,Tax
"Grand Total","Grand Total"
"By %1","By %1"
"Renderer list for block ""%1"" is not defined","Renderer list for block ""%1"" is not defined"
"Your Purchase Order has been submitted for approval.","Your Purchase Order has been submitted for approval."
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
Discount,Discount
"Estimated Tax","Estimated Tax"
"Grand Total (Incl. Tax)","Grand Total (Incl. Tax)"
"Grand Total to Be Charged","Grand Total to Be Charged"
"Catalog Total Price (Incl. Tax)","Catalog Total Price (Incl. Tax)"
"Catalog Total Price (Excl. Tax)","Catalog Total Price (Excl. Tax)"
"Purchase Order # %1","Purchase Order # %1"
"Comment added successfully.","Comment added successfully."
"We cannot comment the purchase order right now.","We cannot comment the purchase order right now."
"Some Item(s) are not available and are not added into the shopping cart.","Some Item(s) are not available and are not added into the shopping cart."
"Purchase order has been successfully approved.","Purchase order has been successfully approved."
"Purchase order has been approved by ","Purchase order has been approved by "
"Unable to approve purchase order.","Unable to approve purchase order."
"%1 Purchase Order has been successfully approved","%1 Purchase Order has been successfully approved"
"%1 Purchase Orders have been successfully approved","%1 Purchase Orders have been successfully approved"
"The Purchase Order #%1 couldn't be approved","The Purchase Order #%1 couldn't be approved"
"Purchase order is successfully canceled.","Purchase order is successfully canceled."
"Purchase order cannot be canceled","Purchase order cannot be canceled"
"Successfully placed order #%1 from purchase order #%2.","Successfully placed order #%1 from purchase order #%2."
"Purchase order has been successfully rejected.","Purchase order has been successfully rejected."
"Unable to reject purchase order.","Unable to reject purchase order."
"%1 Purchase Order has been successfully rejected","%1 Purchase Order has been successfully rejected"
"%1 Purchase Orders have been successfully rejected","%1 Purchase Orders have been successfully rejected"
"The Purchase Order #%1 couldn't be rejected","The Purchase Order #%1 couldn't be rejected"
"Requested purchase order was not found","Requested purchase order was not found"
"There was an error saving comment.","There was an error saving comment."
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"There was an error saving purchase order configuration for this company.","There was an error saving purchase order configuration for this company."
Pending,Pending
"Approval Required","Approval Required"
Approved,Approved
"Approved - Pending Payment","Approved - Pending Payment"
"Approved - Ordered","Approved - Ordered"
"Approved - Order Failed","Approved - Order Failed"
Rejected,Rejected
Canceled,Canceled
"Configuration provider is not set for %1","Configuration provider is not set for %1"
"Notification Queue Message is not fulfilled properly","Notification Queue Message is not fulfilled properly"
"Purchase order %1 couldn't be approved.","Purchase order %1 couldn't be approved."
"Purchase order %1 couldn't be rejected.","Purchase order %1 couldn't be rejected."
"Order cannot be placed with purchase order #%1.","Order cannot be placed with purchase order #%1."
"An error occurred on the server. Please try again.","An error occurred on the server. Please try again."
"Purchase order %1 cannot be canceled.","Purchase order %1 cannot be canceled."
"Purchase order %1 cannot be rejected.","Purchase order %1 cannot be rejected."
"Purchase order %1 cannot be approved.","Purchase order %1 cannot be approved."
"Unable to approve purchase order. %1","Unable to approve purchase order. %1"
"Unable to set purchase order approval required status. %1","Unable to set purchase order approval required status. %1"
"There is some error while processing request, please try later.","There is some error while processing request, please try later."
"Customer is not a member of a company that has purchase orders enabled.","Customer is not a member of a company that has purchase orders enabled."
"An error occurred on the server. Please try to place the Purchase Order again.","An error occurred on the server. Please try to place the Purchase Order again."
"Cannot delete purchase order with id %1","Cannot delete purchase order with id %1"
"There is an error while saving comment.","There is an error while saving comment."
"Purchase Order in Progress","Purchase Order in Progress"
View,View
"Purchase Order Number:","Purchase Order Number:"
"View Purchase Order","View Purchase Order"
Merge,Merge
Replace,Replace
Cancel,Cancel
"Your Purchase Order request number is %1","Your Purchase Order request number is %1"
"You will be asked to enter your payment details after your purchase order has been approved.","You will be asked to enter your payment details after your purchase order has been approved."
"A copy of this Purchase Order will be emailed to you shortly.","A copy of this Purchase Order will be emailed to you shortly."
"Continue Shopping","Continue Shopping"
" Comment"," Comment"
"Add your comment","Add your comment"
"Add Comment","Add Comment"
Items,Items
Qty,Qty
Price,Price
SKU,SKU
"Billing Info","Billing Info"
"Shipping Info","Shipping Info"
"Payment Method","Payment Method"
"No payment information available","No payment information available"
"Shipping Method","Shipping Method"
"No shipping information available","No shipping information available"
"Purchase Order #%1","Purchase Order #%1"
"Placed on %1 by %2","Placed on %1 by %2"
"Place Order","Place Order"
"To proceed with this order, go to %1 page.","To proceed with this order, go to %1 page."
"This purchase order has been approved but the payment details must be updated.","This purchase order has been approved but the payment details must be updated."
"Approve Purchase Order","Approve Purchase Order"
"Reject Purchase Order","Reject Purchase Order"
"Cancel Purchase Order","Cancel Purchase Order"
"Add Items to Shopping Cart","Add Items to Shopping Cart"
Quote:,Quote:
"View Negotiable Quote","View Negotiable Quote"
"Order Number:","Order Number:"
"View Order","View Order"
Created:,Created:
"Product Name","Product Name"
"Shipping and Payment Information","Shipping and Payment Information"
"Shipping Address","Shipping Address"
"Billing Address","Billing Address"
"Purchase Order #%increment_id is ready for your approval","Purchase Order #%increment_id is ready for your approval"
"%recipient_full_name,","%recipient_full_name,"
"%buyer_full_name placed a Purchase Order that requires your approval.","%buyer_full_name placed a Purchase Order that requires your approval."
"<a href=""%purchase_order_view_url"">Review Purchase Order</a>","<a href=""%purchase_order_view_url"">Review Purchase Order</a>"
"The Purchase Order details are below.","The Purchase Order details are below."
"You can approve or decline the Purchase Order by following this link:","You can approve or decline the Purchase Order by following this link:"
"<a href=""%purchase_order_view_url"">#%increment_id</a>","<a href=""%purchase_order_view_url"">#%increment_id</a>"
"Purchase Order #%increment_id has been Created and has been sent for approval","Purchase Order #%increment_id has been Created and has been sent for approval"
"Your Purchase Order requires approval from:","Your Purchase Order requires approval from:"
"You will receive an email at each approval stage. Once the Purchase Order has been approved, it will be processed immediately.","You will receive an email at each approval stage. Once the Purchase Order has been approved, it will be processed immediately."
"Purchase Order #%increment_id has been Approved","Purchase Order #%increment_id has been Approved"
%buyer_full_name,%buyer_full_name
"Your Purchase Order <a href=""%po_url"">#%po_id</a> has been approved by %approver_full_name.","Your Purchase Order <a href=""%po_url"">#%po_id</a> has been approved by %approver_full_name."
"You will receive an e-mail with your Order confirmation shortly.","You will receive an e-mail with your Order confirmation shortly."
"Your Purchase Order details are below.","Your Purchase Order details are below."
"Purchase Order #%increment_id has been Created and Approved automatically","Purchase Order #%increment_id has been Created and Approved automatically"
"Purchase Order #%increment_id has been Created and Approved - Pending Payment","Purchase Order #%increment_id has been Created and Approved - Pending Payment"
"Go to the Add Payment page to complete the order.","Go to the Add Payment page to complete the order."
"<a href=""%pending_details_url"">Add payment</a>","<a href=""%pending_details_url"">Add payment</a>"
"Comment added to Purchase Order #%increment_id","Comment added to Purchase Order #%increment_id"
%recipient_full_name,%recipient_full_name
"A comment was added to Purchase Order <a href=""%purchase_order_view_url"">#%increment_id</a>","A comment was added to Purchase Order <a href=""%purchase_order_view_url"">#%increment_id</a>"
"by %commenter_full_name:","by %commenter_full_name:"
"Purchase Order #%increment_id has Failed","Purchase Order #%increment_id has Failed"
